02/22, 24.60  ,DEBIT CARD PURCHASE ,022219 ,5542022219 ,ROYAL FARMS # 297 ,FREDERICKSBUR,VA
02/25, 15.27  ,DEBIT CARD PURCHASE ,022319 ,5947022319 ,Z MARKET 4DE01 ,NEWARK ,DE
02/25, 23.60  ,DEBIT CARD PURCHASE ,022219 ,5814022219 ,WENDYS #6595 ,BOWIE ,MD
02/25, 24.10  ,DEBIT CARD PURCHASE ,022319 ,5542022319 ,SUNOCO 0140993700 ,NEWARK, DE
02/25, 34.23  ,DEBIT CARD PURCHASE ,022319 ,5411022319 ,WEGMANS CROFTON #60 ,GAMBRILLS ,MD
02/26, 5.29   ,DEBIT CARD PURCHASE ,022519 ,5411022519 ,WEGMANS # 40 ,LANHAM ,MD
02/26, 12.34  ,DEBIT CARD PURCHASE ,022519 ,5411022519 ,GIANT 0235, FREDERICKSBUR,VA
02/26, 18.36  ,DEBIT CARD PURCHASE ,022519 ,5411022519 ,WEGMANS # 40 ,LANHAM ,MD
02/26, 18.97  ,POS DEBIT 		   ,022619 ,5411022619 ,WM SUPERC Wal-Mart Sup ,FREDERICKSBUR,VA
02/26, 135.00 ,DEBIT CARD PURCHASE ,022519 ,9399022519 ,MVA - KIOSK, GLEN BURNIE ,MD
02/27, 22.84  ,DEBIT CARD PURCHASE ,022719 ,5542022719 ,ROYAL FARMS # 297 ,FREDERICKSBUR,VA
02/27, 22.95  ,POS DEBIT 		     ,022719 ,5912022719 ,CVS/PHARM 02712--THE P ,ARLINGTON ,VA
02/28, 4.40   ,DEBIT CARD PURCHASE ,022719 ,5814022719 ,MCDONALD'S F31969 ,ARLINGTON ,VA
03/01, 8.56   ,DEBIT CARD PURCHASE ,022819 ,5814022819 ,MCDONALD'S F31969, ARLINGTON ,VA
03/01, 26.61  ,DEBIT CARD PURCHASE ,022819 ,5542022819 ,WAWA 664 00006643, FREDERICKSBUR,VA
03/01, 36.06  ,POS DEBIT 		     ,030119 ,5970030119 ,AC MOORE STR #94 3861 ,BOWIE ,MD
03/04, 18.45  ,DEBIT CARD PURCHASE ,030119 ,5970030119 ,MICHAELS STORES 9939 ,BOWIE ,MD
03/04, 20.00  ,ATM DB NONLOCAL 	 ,030119 ,6011030119 ,PNC BANKM&T 163 S E CRAIN,UPPR MARLBORO,MD
03/04, 20.02  ,DEBIT CARD PURCHASE ,030219 ,5542030219 ,WAWA 664 00006643 ,FREDERICKSBUR,VA
03/04, 27.99  ,DEBIT CARD PURCHASE ,030119 ,5814030119 ,CHIPOTLE 0446, BOWIE ,MD
03/04, 58.28  ,DEBIT CARD PURCHASE ,030219 ,5941030219 ,DICK'S SPORTING #290 ,BAILEYS CROSS,VA
03/05, 6.05   ,DEBIT CARD PURCHASE ,030419 ,5812030419 ,FRESH KITCHEN BY ROBER ,WASHINGTON ,DC
03/05, 9.67   ,POS DEBIT		     ,030519 ,5411030519 ,HARRIS TE 15501 ANNAPO ,BOWIE, MD
03/05, 30.00  ,ATM DB NONLOCAL 	 ,030519 ,6011030519 ,PNC BANK2390 PLANK RD ,FREDERICKSBRGV,A
03/05, 33.00  ,DEBIT CARD PURCHASE ,030419 ,7999030419 ,PENTAGON SERVICES, WASHINGTON ,DC
