region,Lat,Long,value
alabama,32.84057112,-86.63186076,27.1972619
arizona,34.86597028,-111.7638113,29.47879518
arkansas,34.74865012,-92.27449074,30.70697368
california,37.63864012,-120.9999995,26.73172043
colorado,38.84384076,-106.1336109,27.21333333
connecticut,41.56266102,-72.64984095,28.60963855
delaware,39.00883067,-75.57774117,30.54243243
florida,28.93204038,-81.92896054,27.20640449
georgia,32.83968109,-83.62758035,28.70666667
idaho,43.68263001,-114.36373,30.27185714
illinois,40.48501028,-88.99771018,27.85390244
indiana,39.76691045,-86.14996019,27.51659091
iowa,42.46940091,-93.81649056,27.39843373
kansas,38.3477403,-98.20078123,26.99988636
kentucky,37.64597027,-84.77497105,28.83128205
louisiana,31.31266064,-92.44568007,28.82151899
maine,45.25422889,-68.98503134,28.97423077
maryland,39.29058096,-76.60926011,27.27626374
massachusetts,42.27687047,-72.08269067,28.57036145
michigan,44.66131954,-84.71439027,27.53266667
minnesota,46.35564874,-94.7942005,27.27923077
mississippi,32.7455101,-89.53803082,27.96774648
missouri,38.63579078,-92.56630005,27.85621951
montana,47.06652897,-109.4244206,28.40142857
nebraska,41.64104099,-99.36572062,28.49070588
nevada,39.49324039,-117.0718406,31.12478873
new hampshire,43.65595011,-71.50036092,30.50149254
new mexico,34.52088095,-106.240581,28.8235443
new york,42.82700103,-75.54397043,26.50159574
north carolina,35.46622098,-79.15925046,29.45825
north dakota,47.47531978,-100.118421,30.27042254
ohio,40.06021014,-82.40426006,27.4027381
oklahoma,35.47203136,-97.52107021,28.70731707
oregon,44.56744942,-120.1550313,28.10178571
pennsylvania,40.79373015,-77.86070029,28.06074074
rhode island,41.70828019,-71.52247031,29.597
south carolina,33.9988213,-81.04537121,27.91702381
south dakota,44.35313005,-100.3735306,31.35492537
tennessee,35.68094058,-85.77449091,28.456375
texas,31.82724041,-99.42677021,28.85904762
utah,39.36070017,-111.5871306,27.50860465
vermont,43.62538124,-72.51764079,30.05774648
virginia,37.54268067,-78.45789046,28.36843373
washington,47.52227863,-120.4700108,27.55922222
west virginia,38.6655102,-80.71264013,28.24205479
wisconsin,44.39319117,-89.81637074,30.15162162
wyoming,43.23554134,-108.1098304,30.17464789
