ID,YearStart,YearEnd,Description,LocationAbbr,LocationDesc,DataSource,Class,Topic,Question,Response,Data_Value_Unit,DataValueTypeId,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,GeoLocation_Lat,GeoLocation_Long,ClassId,TopicId,QuestionId,ResponseId,StratficationCategory1,StratificationCategoryId1,HSGrade,HSResponse,StratificationCategory2,StratificationCategoryId2,Stratification2,StratificationId2,StratificationCategory3,StratificationCategoryId3,Stratification3,StratificationId3,LocationDisplayOrder,FootnoteSymbol,FootnoteText,URL,FootnoteHeading
135570,2001,2001,2001,US,National,YRBSS,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity †,,,VALUE,Value,10.4,,,8.7,12.5,"3,091",,,OWS,OWS1,Q038,,Grade,GRADE,9th,GRADE09,,,,,,,,,0,,,,
124780,2003,2003,2003,US,National,YRBSS,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity †,,,VALUE,Value,14,,,11.8,16.5,"3,322",,,OWS,OWS1,Q038,,Grade,GRADE,9th,GRADE09,,,,,,,,,0,,,,
133461,2005,2005,2005,US,National,YRBSS,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity †,,,VALUE,Value,12.6,,,11.2,14.1,"3,133",,,OWS,OWS1,Q038,,Grade,GRADE,9th,GRADE09,,,,,,,,,0,,,,
134668,2007,2007,2007,US,National,YRBSS,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity †,,,VALUE,Value,13.5,,,12.2,14.9,"3,230",,,OWS,OWS1,Q038,,Grade,GRADE,9th,GRADE09,,,,,,,,,0,,,,
131846,2009,2009,2009,US,National,YRBSS,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity †,,,VALUE,Value,11.5,,,10,13.3,"3,864",,,OWS,OWS1,Q038,,Grade,GRADE,9th,GRADE09,,,,,,,,,0,,,,
124769,2011,2011,2011,US,National,YRBSS,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity †,,,VALUE,Value,13.6,,,11.9,15.6,"3,444",,,OWS,OWS1,Q038,,Grade,GRADE,9th,GRADE09,,,,,,,,,0,,,,
125440,2013,2013,2013,US,National,YRBSS,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity †,,,VALUE,Value,13.2,,,11.8,14.9,"3,273",,,OWS,OWS1,Q038,,Grade,GRADE,9th,GRADE09,,,,,,,,,0,,,,
111958,2015,2015,2015,US,National,YRBSS,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity †,,,VALUE,Value,13,,,11.7,14.5,"3,642",,,OWS,OWS1,Q038,,Grade,GRADE,9th,GRADE09,,,,,,,,,0,,,,
115805,2017,2017,2017,US,National,YRBSS,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity †,,,VALUE,Value,13.1,,,11.5,14.9,"3,443",,,OWS,OWS1,Q038,,Grade,GRADE,9th,GRADE09,,,,,,,,,0,,,,
25824,2019,2019,2019,US,National,YRBSS,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity †,,,VALUE,Value,14.8,,,12.8,17.1,"3,196",,,OWS,OWS1,Q038,,Grade,GRADE,9th,GRADE09,,,,,,,,,0,,,,
128055,2001,2001,2001,US,National,YRBSS,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity †,,,VALUE,Value,10.8,,,9.3,12.6,"3,086",,,OWS,OWS1,Q038,,Grade,GRADE,10th,GRADE10,,,,,,,,,0,,,,
